sLap,curv,theta,xi,yi
0.0,-0.0005438727133899,-0.00010828103531661135,0.19909260386850725,-2.1557953355016053e-05
0.199092605035666,0.0005553127621144,0.0001369652617253628,0.6407289419347015,3.89308836538975e-05
0.883272684417258,0.0027886855627334,0.0020449283714066,1.324907590787911,0.0014380291640230401
1.56745276379885,0.0013034750026865,0.0026205903037534515,1.7665424165300463,0.0025953757555206847
1.76654536883452,-7.6395095586336e-05,0.0026053806051612193,1.9656343458449859,0.0031140871804749386
1.96563797387018,-0.0017796698818553,0.001819413708199789,2.407269957086875,0.003917605952218175
2.64981805325177,-0.009851866006013,-0.004921036757850975,3.0914417522265794,0.0005507442216225512
3.33399813263336,-0.0196049016292279,-0.013579273802743196,3.533037376923921,-0.005446172284592798
3.53309073766903,-0.022428736081535,-0.018044669296873525,3.732097569558564,-0.009038537542779279
3.7321833427047,-0.0251485669950273,-0.02915119043634606,4.173546275561374,-0.021910939333543156
4.41636342208629,-0.0328216676442243,-0.0516071216106076,4.856815470440155,-0.05720383312676947
5.10054350146788,-0.037082638371803,-0.06798416238057607,5.297431618016779,-0.08720498734046309
5.29963610650355,-0.0375277160042164,-0.07545565312089413,5.495957719506975,-0.10221339854856733
5.49872871153921,-0.0376548637674899,-0.09208540942153245,5.935722907673079,-0.14282421036813797
6.1829087909208,-0.0356030312879849,-0.11644429419437138,6.61526973344081,-0.2223131568425186
6.8670888703024,-0.0306601827029653,-0.12998494513475728,7.053180363113172,-0.27955771273540186
7.06618147533806,-0.0288599863958955,-0.13573075500760998,7.250441856539247,-0.3064978053707587
7.26527408037373,-0.0269796546326398,-0.14764595099362116,7.687273249506532,-0.3714669740408261
7.94945415975532,-0.0204701815540163,-0.1616512414342036,8.362533580682085,-0.48158448474317694
8.63363423913691,-0.0145921421120584,-0.16809566170156157,8.797945129321638,-0.5554725221425014
8.83272684417258,-0.0131327661065798,-0.17071029831704462,8.994143793605692,-0.5892948448457133
9.03181944920824,-0.0117788541497085,-0.17591226837913077,9.428964492788666,-0.6665840311620668
9.71599952858983,-0.0080613349594071,-0.18142767317157943,10.10191518917976,-0.7900333780591913
10.4001796079714,-0.0056137789597174,-0.1839069219773168,10.5361040990766,-0.870796298276437
10.5992722130071,-0.0051065091299204,-0.18492359018263124,10.731802235537792,-0.907403739671835
10.7983648180428,-0.0046693082469838,-0.18698572639747385,11.165740434747057,-0.9895030577351175
11.4825448974244,-0.0035926534430741,-0.1894437483153467,11.837679941559196,-1.118342803961212
12.1667249768059,-0.0029509975585399,-0.19074701608296676,12.271306272654963,-1.2020737047076944
12.3658175818416,-0.0028037959551869,-0.19130523112367348,12.466766810231919,-1.2399292674432856
12.5649101868773,-0.0026689487430853,-0.19248393588411206,12.900247053439992,-1.324413215668405
13.2490902662589,-0.0022268146549489,-0.1940074781115031,13.571591575063014,-1.4563181598872132
