sLap,u,Kt,aTheta,xi,yi
0.0,-1.9429315681928795e-13,-3.572607706150451e-06,0.00010397891622428741,-4.975050707680757,0.00015551992831603964
0.4782063167087596,1.6622508083715668e-13,-3.572607198158858e-06,0.00010227047348674731,-4.496844393514846,0.00020483480947965037
2.121558342104008,2.0702593623714685e-12,-3.572607209990744e-06,9.63994202537978e-05,-2.853492376229792,0.0003680770937446108
3.7649103674992563,1.7479598478161467e-11,-3.572592995839008e-06,9.052837869055375e-05,-1.2101403580146526,0.0005216711804216023
4.243116684208016,2.6843653271988372e-11,-3.5725830038583313e-06,8.88199437328172e-05,-0.7319340432286807,0.0005645539298599003
4.721323000916776,3.932735615537554e-11,-3.5725663637610866e-06,8.71115196335297e-05,-0.253727728370153,0.0006066197078475968
6.364675026312025,1.1622645303723663e-10,-3.572449046168098e-06,8.124060592932573e-05,1.3896242912006633,0.0007449505632359999
8.008027051707273,2.6977795703716295e-10,-3.57214237284425e-06,7.537004060828763e-05,3.032976311555267,0.0008736337269876621
8.486233368416032,3.3336326466592697e-10,-3.5719994955930957e-06,7.366184876444395e-05,3.5111826269363204,0.0009092677105508642
8.964439685124791,4.079002500129516e-10,-3.5718212679023755e-06,7.195374627073678e-05,3.9893889423775404,0.0009440848925429953
10.60779171052004,7.561565572797258e-10,-3.5708891811241263e-06,6.608465401255752e-05,5.632740963856273,0.0010575074441635838
12.251143735915289,1.2825179376546495e-09,-3.569238441971658e-06,6.021768400049041e-05,7.276092985972284,0.0011612867549542973
12.72935005262405,1.4757916384071068e-09,-3.5685811126981217e-06,5.851099633752462e-05,7.754299301838354,0.0011896751097265114
13.207556369332808,1.6889942789616123e-09,-3.5678236787006585e-06,5.6804670740940505e-05,8.232505617752176,0.0012172475237083675
14.850908394728057,2.593324791253706e-09,-3.5643467633589025e-06,5.094409953412422e-05,9.875857640760247,0.0013057811256923647
16.494260420123304,3.802618692842247e-09,-3.559133133536406e-06,4.5090669139806624e-05,11.519209664258687,0.0013846896135605543
16.972466736832065,4.219130259594383e-09,-3.557217889885112e-06,4.338910408488824e-05,11.997415980499417,0.001405845284798538
17.450673053540825,4.667731562409914e-09,-3.5550925747365185e-06,4.1688542048350464e-05,12.475622296775454,0.0014261877464835143
19.094025078936074,6.4686858045296284e-09,-3.546002983314671e-06,3.58532867894741e-05,14.118974320933317,0.0014898995874165167
20.737377104331323,8.714600797694662e-09,-3.533588176515663e-06,3.003570117878325e-05,15.762326345434547,0.0015440365685334238
21.21558342104008,9.45984260120707e-09,-3.5292460511156254e-06,2.8346918907702462e-05,16.240532661939483,0.0015579957903410016
21.69378973774884,1.0248384081166515e-08,-3.5245339457511155e-06,2.6660352259036758e-05,16.718738978467332,0.0015711483912232086
23.33714176314409,1.3310890131949688e-08,-3.5052561199176224e-06,2.088338721774045e-05,18.362091003396046,0.0016102089825122227
24.980493788539334,1.69595006527281e-08,-3.480463930578856e-06,1.5142633450790379e-05,20.005443028522556,0.0016398057405376226
25.4587001052481,1.81387784460177e-08,-3.4720755828774943e-06,1.3480207651688809e-05,20.483649345182258,0.0016466491192440858
25.93690642195686,1.9373719445548653e-08,-3.4631069840545827e-06,1.1821996037762274e-05,20.961855661852727,0.0016526992026646332
27.580258447352108,2.4056347623711267e-08,-3.4275196894350683e-06,6.158998912664154e-06,22.605207687179377,0.00166746481379059
29.223610472747353,2.9455679609409943e-08,-3.383648289987933e-06,5.61291090480865e-07,24.248559712563303,0.0016729777737755252
29.701816789456114,3.116842314729825e-08,-3.3691569546132707e-06,-1.0533943215024627e-06,24.726766029271936,0.001672859423102057
30.180023106164874,3.2946264434365835e-08,-3.353828511863555e-06,-2.660873883273271e-06,25.204972345979876,0.0016719716198466093
31.823375131560123,3.957131261110012e-08,-3.294355597768531e-06,-8.125111146308138e-06,26.84832437134899,0.0016630943488527544
33.46672715695537,4.7021791690810345e-08,-3.2233171605608117e-06,-1.3482110362592787e-05,28.491676396646326,0.0016453255274164458
33.94493347366413,4.9349920246528525e-08,-3.2002783690692965e-06,-1.5018097893196785e-05,28.969882713306383,0.0016385100238660271
34.423139790372886,5.175181877557983e-08,-3.176106873742642e-06,-1.6542712372096372e-05,29.44808902995564,0.0016309640401696577
36.06649181576814,6.057640095752521e-08,-3.0839329151934114e-06,-2.168852431366379e-05,31.091441055048243,0.0015995278910831531
37.709843841163384,7.030239794954801e-08,-2.97651639071528e-06,-2.6670337542964883e-05,32.73479307996102,0.0015597701153301302
38.18805015787215,7.330523968531754e-08,-2.9421831847693553e-06,-2.808561954702024e-05,33.212999396490375,0.001546676380522747
38.666256474580905,7.638575757372517e-08,-2.9063946849671244e-06,-2.9484044957952933e-05,33.69120571300109,0.0015329115720278965
40.30960849997616,8.757416994534539e-08,-2.771800704708246e-06,-3.4152305003772985e-05,35.33455773756174,0.0014805906639591105
41.9529605253714,9.969695955474195e-08,-2.618052468954414e-06,-3.858364116724729e-05,36.9779097618679,0.0014207928359642674
42.43116684208016,1.0340039560166707e-07,-2.5694944654888785e-06,-3.982411732328279e-05,37.45611607820892,0.0014020434141853776
42.90937315878892,1.0718291591946855e-07,-2.519147018808293e-06,-4.104085395343049e-05,37.9343223945269,0.0013827085439456468
44.55272518418417,1.2078066692507553e-07,-2.3319600913159713e-06,-4.5030055421189584e-05,39.57767441839711,0.0013119414167735224
46.196077209579414,1.352932332426333e-07,-2.121675590369884e-06,-4.8692664150468156e-05,41.221026441985195,0.001234886980715119
46.67428352628818,1.3968563043506855e-07,-2.0559297613867857e-06,-4.969167228829547e-05,41.69923275811506,0.001211360571217868
47.152489842996935,1.4415215153357297e-07,-1.9880676218996395e-06,-5.065864835526215e-05,42.177439074221965,0.0011873665449969775
48.79584186839219,1.6006216879300317e-07,-1.7382162575990697e-06,-5.372412086545753e-05,43.820791097375036,0.0011015384790655585
50.43919389378743,1.7680642311757328e-07,-1.4615336616258114e-06,-5.635695305062519e-05,45.46414312027755,0.0010110282528596256
