sLap,u,Kt,aTheta,xi,yi
0.0,-4.828849478488789e-13,2.2172472816357834e-05,-1.305633188626727,-1.3205298391554812,4.8438943752319625
0.47695886945719235,-4.804021687969194e-13,2.2172463798868638e-05,-1.3056226132935034,-1.1955323645204152,4.383605993359662
2.1160240527597938,-1.303955193929949e-10,2.217241523977773e-05,-1.3055862711426691,-0.7659424772442024,2.80183887915824
3.755089236062395,-6.900530985729841e-10,2.2171801553387786e-05,-1.3055499295345652,-0.33629510586187844,1.2200873781052481
4.2320481055195875,-9.765455904311264e-10,2.2171415784365882e-05,-1.3055393545631608,-0.2112593084894039,0.7598094049985624
4.70900697497678,-1.3282386897763603e-09,2.2170863836452767e-05,-1.3055287798863309,-0.0862186439732334,0.2995327540926696
6.348072158279381,-3.1175039856675855e-09,2.2167360856487527e-05,-1.3054924427504586,0.3435196611361753,-1.2821940440430457
7.987137341581983,-5.935046029531401e-09,2.2160082447763878e-05,-1.3054561144502845,0.7733154343957163,-2.863905227574281
8.464096211039175,-6.972256960858361e-09,2.215701354734514e-05,-1.3054455456639191,0.8983944110119753,-3.324171468743855
8.941055080496367,-8.109286638701515e-09,2.2153419630022814e-05,-1.3054349785802963,1.0234782510890725,-3.784436388223325
10.58012026379897,-1.2834151619328013e-08,2.2136433861543876e-05,-1.305398680398161,1.453364894997814,-5.366122876819548
12.21918544710157,-1.8862650572957596e-08,2.211063536085091e-05,-1.3053624172791276,1.8833089232386184,-6.947793767808351
12.696144316558762,-2.0868769566136138e-08,2.2101166288719208e-05,-1.3053518735709049,2.00843101953709,-7.4080482888828705
13.173103186015954,-2.298844741405893e-08,2.209071286576175e-05,-1.305341334741787,2.133557966396899,-7.868301491285182
14.812168369318556,-3.11399425948164e-08,2.20465327710224e-05,-1.3053051608581216,2.5635926317994118,-9.449947741674931
16.451233552621158,-4.060842022403314e-08,2.1987912534301244e-05,-1.3052690712226769,2.993684444583655,-11.03157845312473
16.92819242207835,-4.360608637092875e-08,2.1967832350022566e-05,-1.3052585885590384,3.1188494896979493,-11.49182129623374
17.405151291535542,-4.670742447761338e-08,2.194630201182859e-05,-1.3052481159379619,3.244019355455321,-11.95206282832159
19.044216474838144,-5.814580733346437e-08,2.1860525000265908e-05,-1.305212212128784,3.674201254136252,-13.533669040015797
20.683281658140746,-7.07089477500271e-08,2.1755077958132182e-05,-1.3051764650339495,4.104439814299338,-15.115259839237027
21.16024052759794,-7.456012423051951e-08,2.1720434266224162e-05,-1.3051660968891006,4.229647454378144,-15.575491096342883
21.63719939705513,-7.849375838980497e-08,2.1683941965328596e-05,-1.305155745801728,4.354859860220954,-16.035721056879648
23.276264580357733,-9.259025780510269e-08,2.1543839363344895e-05,-1.3051203159830336,4.785187487599987,-17.617287624540403
24.915329763660335,-1.074651901932624e-07,2.1379993728771437e-05,-1.3050851352598238,5.2155709523482665,-19.198838998386613
25.392288633117523,-1.1191777966778912e-07,2.1327672739482686e-05,-1.305074950236107,5.340820583103905,-19.659058829713675
25.869247502574716,-1.1641670888777793e-07,2.1273227398362314e-05,-1.3050647907278634,5.466074892979867,-20.11927738758644
27.508312685877318,-1.3218263546817238e-07,2.1069536491684842e-05,-1.3050300858868402,5.896545810788999,-21.70080496045942
29.14737786917992,-1.4827331998360606e-07,2.0839738053954752e-05,-1.3049957363044615,6.3270713340806015,-23.282317669435653
29.624336738637112,-1.5298875449362095e-07,2.0767887692132623e-05,-1.3049858136353136,6.452362047611539,-23.742526318043904
30.101295608094304,-1.577110092172409e-07,2.0693798550147374e-05,-1.304975925776087,6.577657317147885,-24.202733726268942
31.740360791396906,-1.739148882575593e-07,2.0421993827721585e-05,-1.3049422264382224,7.008267995278502,-25.784223251599396
33.37942597469951,-1.899248186262562e-07,2.012378883858385e-05,-1.304908994241893,7.43893159893033,-27.365698365335824
33.8563848441567,-1.945177742354617e-07,2.0032099518790622e-05,-1.3048994178103555,7.56426215214748,-27.825896165831477
34.33334371361389,-1.9907030290733617e-07,1.9938241732084712e-05,-1.3048898855822895,7.689597099843424,-28.2860927695128
35.97240889691649,-2.143438270568252e-07,1.9599334376406988e-05,-1.3048574799134445,8.120342839390261,-29.86754551389992
