sLap,u,Kt,aTheta,xi,yi
0.0,7.950649679409102e-13,-4.16074455467571e-05,-2.900779245772167,4.85065896310134,1.1907546839792562
0.6016916999094187,-1.2500408212766003e-14,-4.160744583534431e-05,-2.9008042806278005,4.266327699572687,1.0472629553535788
2.669400216423753,-3.389047854988241e-12,-4.1607447450843755e-05,-2.9008903126964074,2.2582507977859976,0.5542663396049229
4.737108732938087,-1.7799292064061385e-11,-4.1607467455293464e-05,-2.9009763447873635,0.2501314899066146,0.061442484712630384
5.338800432847506,-2.5962655281746843e-11,-4.160748000318082e-05,-2.9010013796578935,-0.334228044350506,-0.08193407000880612
5.940492132756925,-3.416281307859666e-11,-4.160749791528193e-05,-2.901026414540447,-0.9185911678414505,-0.2252959953058683
8.00820064927126,-7.97905282881892e-11,-4.160761127206638e-05,-2.9011124468145715,-2.9267775313884496,-0.7178465367660949
10.075909165785593,-1.5126925340249728e-10,-4.16078456998428e-05,-2.9011984794482513,-4.935006262835224,-1.2102243072030605
10.677600865695013,-1.767034178024908e-10,-4.160794432593852e-05,-2.901223514570506,-5.519397631592685,-1.3534710518179487
11.27929256560443,-2.0625162762970525e-10,-4.160805969908441e-05,-2.9012485497616893,-6.103792586379138,-1.49670316602807
13.347001082118766,-3.254158431177989e-10,-4.160860374315033e-05,-2.901334583615279,-8.112088313548076,-1.9888076050081256
15.414709598633099,-4.772110372945983e-10,-4.160942791975571e-05,-2.901420618883407,-10.120426371273506,-2.4807392593262527
16.01640129854252,-5.285132329142831e-10,-4.160973004792787e-05,-2.901445655017613,-10.704849546430948,-2.6238561837617533
16.61809299845194,-5.810749345960845e-10,-4.1610063470140164e-05,-2.9014706913482096,-11.289276304527473,-2.7669584763420008
18.685801514966272,-7.864972038812357e-10,-4.1611471479079254e-05,-2.901556730207248,-13.297681300154402,-3.2586167724883883
20.753510031480605,-1.0259359104707868e-09,-4.1613339409432555e-05,-2.901642772453128,-15.306128590898386,-3.750102262539792
21.355201731390025,-1.1011752370221874e-09,-4.161397944592095e-05,-2.9016678110416163,-15.8905835457396,-3.893089351056716
21.956893431299445,-1.1808243032622924e-09,-4.161466603123645e-05,-2.9016928500343684,-16.475042080641597,-4.036061805400579
24.02460194781378,-1.4731104596754376e-09,-4.1617404270333855e-05,-2.9017788997548073,-18.48355625541427,-4.527273894386224
26.09231046432811,-1.7975635779141853e-09,-4.162078012795656e-05,-2.901864955796328,-20.492112692965296,-5.018313143122131
26.69400216423753,-1.898657285371357e-09,-4.1621891792288894e-05,-2.9018899990031324,-21.076599403052846,-5.161170370632834
27.29569386414695,-2.0007446975344894e-09,-4.162306448753661e-05,-2.9019150429019263,-21.661089690636064,-5.304012960366168
29.363402380661284,-2.3735793089757217e-09,-4.162758194454133e-05,-2.9020011117992843,-23.669712964198776,-5.794778741090331
31.431110897175618,-2.775179075994483e-09,-4.163290005382592e-05,-2.9020871908651817,-25.67837847248493,-6.2853716297939455
32.03280259708504,-2.8964432585426327e-09,-4.1634606517260184e-05,-2.9021122415429987,-26.262896916550428,-6.428098958180244
32.634494296994454,-3.0215759485573658e-09,-4.163638700232026e-05,-2.9021372932740466,-26.847418935955996,-6.570811643498713
34.70220281350879,-3.4657026687904984e-09,-4.1643089588183884e-05,-2.9022233919528504,-28.856151239897198,-7.061130965705422
36.76991133002313,-3.9348702072918164e-09,-4.1650736387205915e-05,-2.9023095054668238,-30.86492575587364,-7.551277321997177
37.371603029932544,-4.076696776152003e-09,-4.1653146347704885e-05,-2.9023345670879817,-31.44947591663601,-7.693874696705673
37.97329472984196,-4.218908931840875e-09,-4.1655641667262205e-05,-2.902359630188528,-32.0340296510785,-7.836457421009977
40.0410032463563,-4.724964106161858e-09,-4.166488457198337e-05,-2.902445771285199,-34.04287093162397,-8.326330074054129
42.108711762870634,-5.2528202518327276e-09,-4.167519639032533e-05,-2.9025319325986008,-36.05175440783271,-8.816029661183338
42.71040346278005,-5.4095663884215196e-09,-4.167840431896314e-05,-2.902557009176965,-36.636336272717344,-8.958497008211006
43.31209516268947,-5.569644577910468e-09,-4.168170749563422e-05,-2.902582087717389,-37.22092171019255,-9.100949695137318
45.3798036792038,-6.1299283206545514e-09,-4.169379979428942e-05,-2.902668285637548,-39.22987193055069,-9.590375398124152
47.44751219571814,-6.709680605048868e-09,-4.170707072404583e-05,-2.902754509779586,-41.2388643373361,-10.079627905622216
48.04920389562756,-6.882737822304634e-09,-4.171115965478433e-05,-2.90277960580126,-41.823477899096126,-10.221965128889341
48.65089559553697,-7.055787617882208e-09,-4.171535267110414e-05,-2.9028047043174583,-42.40809503299234,-10.364287679721816
50.71860411205131,-7.665075285639758e-09,-4.173056877493871e-05,-2.902890975018372,-44.41715417538143,-10.853266072905114
52.786312628565646,-8.29248715299517e-09,-4.174706344585379e-05,-2.902977278503602,-46.426255502813454,-11.342071108394723
53.38800432847506,-8.477619748304642e-09,-4.1752108840227246e-05,-2.9030023988760085,-47.01090076007159,-11.484278087431399
53.98969602838448,-8.665851204768566e-09,-4.17572665424027e-05,-2.9030275223207593,-47.595549589704135,-11.626470378817656
56.057404544898816,-9.321359742020706e-09,-4.177585967185457e-05,-2.9031138831623275,-49.60471765713763,-12.115001015951092
58.12511306141315,-9.994424987848943e-09,-4.179582635296946e-05,-2.9032002838691167,-51.6139279167275,-12.603358097768542
58.72680476132257,-1.0194360916696923e-08,-4.1801899756253554e-05,-2.9032254338906793,-52.19860487446425,-12.745434685610798
59.328496461231985,-1.0394180125864632e-08,-4.180809341588225e-05,-2.9032505876054575,-52.78328540555911,-12.887496567475228
61.39620497774632,-1.1094820102766228e-08,-4.18303069269826e-05,-2.9033370572690953,-54.79256242347841,-13.37557890875359
63.46391349426066,-1.1812773690570586e-08,-4.185398705708052e-05,-2.9034235743800676,-56.80188164977401,-13.86348745903059
64.06560519417008,-1.2024135307006798e-08,-4.186115846270757e-05,-2.903448759726399,-57.38659031978636,-14.005433480227437
64.6672968940795,-1.223853734328143e-08,-4.1868457939944164e-05,-2.9034739494288933,-57.97130256493674,-14.147364773786236
66.73500541059383,-1.2983588509091612e-08,-4.189453105404025e-05,-2.903560547883314,-59.980688582766476,-14.634998179071006
68.80271392710816,-1.37454009466928e-08,-4.192216204548931e-05,-2.903647201859951,-61.99011683489002,-15.122457517019425
69.40440562701758,-1.397097716416143e-08,-4.193050010762784e-05,-2.903672428577253,-62.57485723623623,-15.26427276568731
70.006097326927,-1.4196321174120402e-08,-4.193897377827825e-05,-2.9036976603547817,-63.15960121534601,-15.406073261507233
72.07380584344133,-1.498368553854769e-08,-4.196913904321018e-05,-2.903784408831302,-65.16909630800903,-15.893256983684012
74.14151435995566,-1.5786192834061152e-08,-4.2000948003727776e-05,-2.9038712213801365,-67.17863367115478,-16.380266319011383
74.74320605986509,-1.60216321314109e-08,-4.201051747143526e-05,-2.903896495872539,-67.76340583058634,-16.521950556931692
75.34489775977451,-1.6259815694466877e-08,-4.202022932301482e-05,-2.9039217761677336,-68.34818157129966,-16.66362001303599
77.41260627628884,-1.708400625174228e-08,-4.2054699968291934e-05,-2.904008697095674,-70.35778584067386,-17.1503531915784
