sLap,u,Kt,aTheta,xi,yi
0.0,-6.27813953136786e-14,-4.84343279499555e-05,-0.00014242511698322785,-5.022445940045599,0.004394566017219307
0.5151930261458884,2.649829470195929e-13,-4.8434319937570744e-05,-0.0001673781202508951,-4.50725292009397,0.004314761817508456
2.2856495705373363,1.200264813015974e-10,-4.843426901518646e-05,-0.0002531290143484039,-2.7367964153778916,0.0039425169315766
4.056106114928784,6.163892869036928e-10,-4.843367268214908e-05,-0.000338879335477114,-0.9663399490912346,0.0034184543262604197
4.571299141074673,8.677845894110379e-10,-4.8433301062662215e-05,-0.000363831956765582,-0.4511469547592144,0.0032374383136266837
5.086492167220561,1.172820403547247e-09,-4.843277362142652e-05,-0.0003887842765770797,0.06404603489578164,0.0030435671955561516
6.856948711612009,2.707226263868488e-09,-4.8429464935437894e-05,-0.0004745299810325476,1.8345024138014157,0.002279335713019901
8.627405256003456,5.095927153431799e-09,-4.842268340443938e-05,-0.0005602667533426656,3.6049587206735416,0.0013633031111414695
9.142598282149345,5.970492987062722e-09,-4.8419840733197055e-05,-0.0005852131183905964,4.120151662306198,0.001068231246842814
9.657791308295234,6.928990399871994e-09,-4.841651980701438e-05,-0.0006101577848772163,4.6353445964186,0.0007603082855756818
11.428247852686681,1.0900260553668885e-08,-4.840089787643682e-05,-0.0006958644801310232,6.405800762782003,-0.00039582459011344565
13.198704397078128,1.5962953859858863e-08,-4.837727882599445e-05,-0.000781536438159002,8.176256823578987,-0.001703666658023736
13.713897423224019,1.7649066707596854e-08,-4.836862648656853e-05,-0.0008064579464950694,8.691449687313767,-0.002112729080771644
14.229090449369908,1.9431144219946554e-08,-4.83590790980529e-05,-0.0008313746386680711,9.206642540697118,-0.0025346284358978505
15.999546993761355,2.6301594421003617e-08,-4.831876531060759e-05,-0.0009169585450619156,10.977098408073564,-0.004082314454131114
17.770003538152803,3.432514221224575e-08,-4.8265266935053434e-05,-0.0010024594062767965,12.74755413658379,-0.005781449481744548
18.28519656429869,3.6875951451385485e-08,-4.824692982113185e-05,-0.0010273207349971553,13.262746897389649,-0.006304314843124202
18.800389590444578,3.952247115971636e-08,-4.822725545022529e-05,-0.0010521721443115975,13.777939645043718,-0.0068399842254445245
20.570846134836028,4.9340759079740156e-08,-4.814875156775171e-05,-0.001137489617073617,15.548395127787312,-0.008778357237297935
22.341302679227475,6.024596185355105e-08,-4.805190266541733e-05,-0.0012226518625929159,17.318850438880148,-0.010867643617808351
22.856495705373362,6.361709146440665e-08,-4.801999828127018e-05,-0.0012473997870788766,17.834043072100364,-0.011503921912566674
23.37168873151925,6.707411587666906e-08,-4.798633874676852e-05,-0.0012721307072505476,18.349235689428152,-0.012152943415617713
25.1421452759107,7.959222678386185e-08,-4.785664324817623e-05,-0.0013569770163470618,20.119690703515246,-0.014480340112392064
26.912601820302147,9.304361906942796e-08,-4.7703958811142794e-05,-0.0014415733547410582,21.890145514080796,-0.01695773209298694
27.427794846448037,9.712283106727252e-08,-4.7654973317680333e-05,-0.0014661376277777165,22.405337995727546,-0.017706750451918316
27.942987872593925,1.0127268445846013e-07,-4.760387316305493e-05,-0.001490676024400314,22.920530458838968,-0.018468414631802894
29.713444416985375,1.1604484968639754e-07,-4.741160463074004e-05,-0.0015747903650740948,24.690984922978647,-0.02118210480598713
31.483900961376822,1.3154288161336233e-07,-4.7192540064098644e-05,-0.001658540582059389,26.461439153134037,-0.024044393248119515
31.99909398752271,1.361766461372348e-07,-4.712357588658887e-05,-0.0016828362295563273,26.976631460255916,-0.024905122939969507
32.5142870136686,1.408619502610169e-07,-4.7052216941406695e-05,-0.0017070956607729791,27.491823746342124,-0.02577835701459465
34.28474355806004,1.5732648018159252e-07,-4.6788324703624706e-05,-0.0017901703262700696,29.26227758331098,-0.02887430695821098
36.055200102451494,1.7428302751552547e-07,-4.649484718336975e-05,-0.0018727515922992775,31.03273115779962,-0.03211689998079381
36.57039312859738,1.7929634324821236e-07,-4.640376471653889e-05,-0.0018966820905373396,31.54792326889899,-0.03308789610806326
37.08558615474327,1.8434130428633987e-07,-4.631009719996727e-05,-0.0019205649552555414,32.06311535665366,-0.034071205293822945
38.85604269913472,2.0188647473444603e-07,-4.5968234815374384e-05,-0.0020022569597117294,33.83356849476849,-0.037543889316049434
40.62649924352616,2.1968490123974488e-07,-4.559508527951721e-05,-0.002083316015400976,35.60402134446022,-0.041160644889184465
41.141692269672056,2.2489869964933406e-07,-4.548055966210269e-05,-0.0021067769142745483,36.119213239932805,-0.04224000177554981
41.65688529581794,2.3012406128676773e-07,-4.536335060832837e-05,-0.0021301781031405945,36.63440510999242,-0.04333142653729283
43.427341840209394,2.481393961180935e-07,-4.493998208725343e-05,-0.0022101218754717465,38.40485748462363,-0.04717369452772145
45.19779838460084,2.6618057498093476e-07,-4.448469532085957e-05,-0.0022892878373009158,40.17530954801764,-0.05115681060918606
45.712991410746724,2.7142316597271186e-07,-4.434620743687259e-05,-0.002312170485832304,40.69050121058575,-0.052342134098286364
46.22818443689261,2.7665921680774375e-07,-4.4205025382180015e-05,-0.0023349811010492712,41.20569284596041,-0.053539224357467594
47.99864098128406,2.9457365943481754e-07,-4.3699327538168384e-05,-0.0024128011756020884,42.97614440098904,-0.05774222772498547
49.769097525675505,3.123094908162915e-07,-4.3162071063692824e-05,-0.00248969799750557,44.746595625624494,-0.06208219046478576
50.2842905518214,3.1742646748758996e-07,-4.299984992202425e-05,-0.0025118931109563117,45.261787040737005,-0.06337058697215524
50.79948357796729,3.225205961180495e-07,-4.28350027711764e-05,-0.002534004003042788,45.776978427205165,-0.06467039298259367
52.56994012235874,3.3982915964503604e-07,-4.224862003012402e-05,-0.0026093269065702307,47.54742911633497,-0.06922356702725561
54.34039666675018,3.567851960062068e-07,-4.1631905296515136e-05,-0.002683584794198894,49.31787946002645,-0.07390915376651387
54.855589692896075,3.616443065261221e-07,-4.144683681729625e-05,-0.002704985675686182,49.83307061620235,-0.07529723490668311
55.37078271904196,3.664675420326732e-07,-4.1259277674304935e-05,-0.0027262906177623358,50.34826174264681,-0.07669631352521103
57.14123926343341,3.8274806893982365e-07,-4.0595978287007006e-05,-0.002798755392978416,52.11871153049812,-0.08158741120438621
58.911695807824856,3.985368820348941e-07,-3.9904290213268404e-05,-0.0028700206949855136,53.8891609623295,-0.08660574231327481
59.42688883397074,4.030323083333915e-07,-3.96978052793166e-05,-0.0028905259882556766,54.404351851427315,-0.08808964321827825
59.94208186011663,4.0748135476822885e-07,-3.948901885736363e-05,-0.0029109243710711786,54.91954271009545,-0.08958407762433296
61.71253840450808,4.2240300865681103e-07,-3.8754294006666874e-05,-0.0029801913837310063,56.68999157302712,-0.09479924760103473
63.482994948899524,4.3672990382028083e-07,-3.799367751342852e-05,-0.0030481346779565976,58.46044007405836,-0.10013587948138591
63.99818797504542,4.4078244443837627e-07,-3.7767629996447763e-05,-0.003067650581815939,58.97563069145948,-0.10171128848987344
64.5133810011913,4.447816372985923e-07,-3.753951007835219e-05,-0.0030870495654789385,59.49082127813654,-0.10329671899851021
66.28383754558276,4.5810669387725496e-07,-3.6740150065505145e-05,-0.003152807414803189,61.261269204763394,-0.10882061965376566
68.0542940899742,4.707693080713414e-07,-3.5917785031761515e-05,-0.0032171296672664665,63.03171676842582,-0.11445967032064368
68.56948711612009,4.7432687267517295e-07,-3.567432843306819e-05,-0.003235571586355481,63.54690711312655,-0.1161218675036954
69.08468014226598,4.77826526359591e-07,-3.5429054796954005e-05,-0.0032538876878461347,64.0620974272173,-0.11779353092590931
70.85513668665742,4.894069394546114e-07,-3.4572729523816716e-05,-0.00331585818028966,65.83254441861145,-0.12360947152593714
72.62559323104887,5.002901535020042e-07,-3.369651881283687e-05,-0.003376294982897446,67.6029910507882,-0.12953376992877993
73.14078625719476,5.033250078213367e-07,-3.343798821816096e-05,-0.0033935886244976037,68.11818112540065,-0.13127767188620376
73.65597928334066,5.063005269734499e-07,-3.317790951861414e-05,-0.0034107487540585893,68.63337116992027,-0.13303044687592933
75.42643582773209,5.160706219326763e-07,-3.227277400829906e-05,-0.0034686900098278447,70.40381723950485,-0.13912054716343167
77.19689237212354,5.251380870996699e-07,-3.1350962957181045e-05,-0.0035250140008491262,72.174262958311,-0.14531179766963778
77.71208539826944,5.27645186390294e-07,-3.107976723043224e-05,-0.0035410959539114596,72.68945276897826,-0.14713200613849906
78.22727842441533,5.30093332605857e-07,-3.080729457272641e-05,-0.0035570379390001848,73.20464255045856,-0.1489604620870726
