sLap,t,n,xi,u,v,dpsi,x_ir,y_ir,psi,delta,Sxfl,Sxfr,Sxrl,Sxrr,acc_x,acc_y,alpha_fl,alpha_fr,alpha_rl,alpha_rr,kappa_fl,kappa_fr,kappa_rl,kappa_rr,Fz_fl,Fz_fr,Fz_rl,Fz_rr,Fx_fl,Fx_fr,Fx_rl,Fx_rr,Fy_fl,Fy_fr,Fy_rl,Fy_rr,power_wheel
0.0,6.309865596117908e-31,-0.019886480409043863,-0.023476097034838054,19.37861798510186,0.1424396597154873,-0.0852556502641215,54.84013721783799,26.252630711328955,-2.429603102259689,-0.0012045826824384851,0.008868562942962108,0.0764876490488866,0.10985056381849681,0.07900424774851778,14.869498710553469,1.843704953840633,0.2741477691154242,0.28065342630536066,0.5860927760303226,0.6046793776613884,0.008868562942962108,0.0764876490488866,0.10985056381849681,0.07900424774851778,375.5873011906167,486.51434304152417,1225.809666204288,1336.7367080551958,123.27687425073638,748.5466218996423,1629.7596540769443,1868.461502350666,-47.40313981389399,-35.71048250500331,-117.63029338779714,-183.90237962789814,79334.68109366606
0.49773151258916487,0.025430222458118074,-0.0265324822214037,-0.027470925052358708,19.753114530779857,0.24431482490947357,-0.16911996644894123,54.46612526002301,25.924234248219918,-2.432947264902561,-0.010709847667947496,0.010318763019332988,0.07426846805479859,0.11075939028465301,0.080705701404866,14.620373962678801,0.8925468433829357,0.903697497257044,0.9127197379253791,1.0315939617674803,1.0636738284133769,0.010318763019332988,0.07426846805479859,0.11075939028465301,0.080705701404866,418.2943508783567,471.9946898851978,1257.3837249187334,1311.0840639255746,157.00979890842387,718.4683894322096,1647.535187076329,1816.8502932399172,-170.96164540233084,-114.62811240445777,-208.0433357344312,-309.2340069379709,79999.49218992563
2.208181711043145,0.10948496325688542,-0.058707432106594876,-0.05045571486720458,20.93910461027246,0.6227270704082692,-0.3505414095788157,53.17934258231325,24.796698864932388,-2.455655051158847,-0.034133328856333675,0.016685508914819146,0.06860642128452475,0.10635631120422062,0.08597569151775931,13.876685119104742,-2.986198191263784,2.8370698673316554,2.8629046942086758,2.3315420262881723,2.3998166879915734,0.016685508914819146,0.06860642128452475,0.10635631120422062,0.08597569151775931,579.5709703564297,399.90549240270775,1385.636158660065,1205.9706807063428,298.29140076562084,553.8857943511443,1725.782527067216,1597.280980381437,-633.6652039532153,-301.1398123845831,-511.81996281527694,-585.0648733733179,79999.62114222956
3.9186319094971247,0.18899883438819995,-0.09128286214296585,-0.05586062073988485,21.994906322130902,0.8857602715846279,-0.38315386052060185,51.88028624959272,23.686840066935595,-2.485890542528052,-0.046000686764974257,0.02042309818152026,0.06507545126392589,0.09320975344042867,0.08760898346809906,13.267533193480983,-6.675151308932866,4.080191131240656,4.120461619067518,2.9535299459891187,3.0357517372719958,0.02042309818152026,0.06507545126392589,0.09320975344042867,0.08760898346809906,730.3106994669182,328.69829013608125,1509.5959182827705,1107.9835089519333,386.5347291146483,409.61880021277744,1822.7412640338914,1435.0498686407295,-973.3306492929248,-340.446776924378,-768.1626115599498,-657.6978675045053,79997.97760489142
4.41636342208629,0.2114018104013495,-0.09819585072277888,-0.04813552612929507,22.28261062271944,0.9107160738969893,-0.3678121819133625,51.498091855103844,23.370227994020357,-2.494253175246202,-0.047801869563986195,0.02012052717203444,0.06427698810295446,0.08828959411767841,0.08688597168274484,13.108099724239835,-7.499781474738805,4.261101957785663,4.3029813312697724,2.952301746763201,3.0334137731361963,0.02012052717203444,0.06427698810295446,0.08828959411767841,0.08688597168274484,766.0143697372658,314.78784795132776,1538.3311762592123,1087.1046544732742,389.1990586183233,384.7490065389553,1857.5533590564646,1413.0339816470807,-1040.0739182169584,-338.4707808930368,-819.5838414991778,-651.9289639303145,80503.53101521281
4.914094934675455,0.2334929515030628,-0.09999934196679341,-0.03830342778512206,22.563087258482422,0.9154114035730233,-0.3579137087511089,51.11390146334101,23.056814759959572,-2.502234018506723,-0.049229170928470095,0.01692465747370114,0.06270721843208768,0.0851912283880801,0.08635552067732884,12.955494293602623,-8.23423347108221,4.356899010194762,4.398631162342245,2.9107971752134625,2.989765417995205,0.01692465747370114,0.06270721843208768,0.0851912283880801,0.08635552067732884,798.7535809233798,303.3385423326485,1564.4183277625434,1069.003289171812,340.2960623323712,364.11686498159224,1889.7474851093623,1397.312580907873,-1104.60659736652,-335.5092445969259,-847.3752001943176,-638.7136405899356,79998.98784247763
6.624545133129435,0.3075269114696544,-0.06841667085600224,-0.0033258022219996913,23.48159076527768,0.8232835813187838,-0.33777614539037526,49.77106931390709,22.005037988634676,-2.5279599818219203,-0.05084366408239493,0.008644708013350771,0.05552452035291082,0.0659785698505403,0.07852226793907224,12.470732765135937,-10.12723414192165,4.209227209238695,4.243044831566187,2.5436795071381284,2.6099817234253946,0.008644708013350771,0.05552452035291082,0.0659785698505403,0.07852226793907224,890.8197915571128,281.511820043149,1635.462595746956,1026.154624232992,201.51720023286154,323.61561964489124,1988.9173053035702,1377.6691167858937,-1229.5719161982554,-322.45749077938007,-972.732267313098,-596.6278969340697,79999.33092788432
8.334995331583414,0.37898285086880573,-0.002062325595511103,0.017332122412643317,24.339350793114107,0.62172334083559,-0.32313123266731014,48.39202279359334,20.994729996633847,-2.551540383259824,-0.04848415824483,0.006407412993542665,0.04555916867316428,0.04671206646126596,0.06140787200476171,12.026965664836316,-11.147693233448773,3.589172465114557,3.609588133753159,1.9638040465659865,2.013192204864713,0.006407412993542665,0.04555916867316428,0.04671206646126596,0.06140787200476171,954.9542597352995,284.2500718054889,1680.460079738481,1009.7558918086705,175.58399816050616,308.9994777182992,1957.3934509308776,1355.2605830494776,-1220.726010193028,-314.94973024408864,-1009.9233389858404,-564.0659818516698,79999.17077329835
8.83272684417258,0.3993553115922252,0.019315299260274445,0.017617753471163476,24.57933177623785,0.5534637250256538,-0.3168945265968349,47.98368948791059,20.70896261545575,-2.55809085193548,-0.04726212694832068,0.007239979588904187,0.042134296601917635,0.043577804163844554,0.05468999220197634,11.901689852977134,-11.300450843583956,3.3662977567175676,3.382703576590041,1.7779518937059633,1.8222305093714883,0.007239979588904187,0.042134296601917635,0.043577804163844554,0.05468999220197634,969.0780370461569,289.1831433164773,1689.1889136551426,1009.2940199254631,207.43765088918778,305.09138492891924,1944.2945624157448,1323.976017641901,-1193.7831995550828,-313.7408500910124,-968.0890648104659,-555.0579024684936,80250.52331127263
9.330458356761746,0.419526701309121,0.03873633345216968,0.01670901093655456,24.814627108976765,0.4840460462546459,-0.300703139412261,47.57284163654986,20.426959952679937,-2.5645735949924693,-0.045820011747404764,0.009220832072332218,0.03823948834931542,0.04122233883995999,0.04481269877760472,11.775972087032768,-11.386476616205295,3.1503475219368817,3.1633059564836428,1.5775983834052385,1.616515720023349,0.009220832072332218,0.03823948834931542,0.04122233883995999,0.04481269877760472,981.1392528524484,296.06859362951826,1695.8287613418477,1010.7581021189173,274.2980616956004,298.0346128257954,1937.163454757852,1234.9688615973807,-1157.297935875896,-314.4193099265083,-900.7039101068683,-554.2092958781287,79999.03229829253
